Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Logins,Chrome 63.0.3239.132,,2018-02-20 22:35:09,2018-02-20 22:35:42,32.785s,PASSED
,,,,,,
Test Cases/CHECKOUT,Chrome 63.0.3239.132,,2018-02-20 22:35:10,2018-02-20 22:35:27,16.797s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-20 22:35:10,2018-02-20 22:35:14,3.241s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-20 22:35:14,2018-02-20 22:35:21,7.734s,PASSED
click,Chrome 63.0.3239.132,,2018-02-20 22:35:21,2018-02-20 22:35:24,2.543s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-20 22:35:24,2018-02-20 22:35:24,0.388s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-20 22:35:24,2018-02-20 22:35:24,0.206s,PASSED
click,Chrome 63.0.3239.132,,2018-02-20 22:35:24,2018-02-20 22:35:26,1.458s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-20 22:35:26,2018-02-20 22:35:27,0.736s,PASSED
,,,,,,
Test Cases/CHECKOUT,Chrome 63.0.3239.132,,2018-02-20 22:35:27,2018-02-20 22:35:42,15.425s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-20 22:35:27,2018-02-20 22:35:29,2.092s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-20 22:35:29,2018-02-20 22:35:37,7.819s,PASSED
click,Chrome 63.0.3239.132,,2018-02-20 22:35:37,2018-02-20 22:35:39,2.563s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-20 22:35:39,2018-02-20 22:35:39,0.253s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-20 22:35:39,2018-02-20 22:35:40,0.284s,PASSED
click,Chrome 63.0.3239.132,,2018-02-20 22:35:40,2018-02-20 22:35:41,1.657s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-20 22:35:41,2018-02-20 22:35:42,0.738s,PASSED
