Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTestCases,Chrome 64.0.3282.186,,2018-03-10 21:17:11,2018-03-10 21:18:12,1m - 0.375s,PASSED
,,,,,,
Test Cases/Student_Reg,Chrome 64.0.3282.186,,2018-03-10 21:17:12,2018-03-10 21:18:10,58.296s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-10 21:17:13,2018-03-10 21:17:19,5.902s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-10 21:17:19,2018-03-10 21:17:21,2.784s,PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-10 21:17:21,2018-03-10 21:17:23,2.010s,PASSED
Statement - ran = new java.util.Random(),Chrome 64.0.3282.186,,2018-03-10 21:17:23,2018-03-10 21:17:23,0.031s,PASSED
Statement - t = ran.nextInt(100),Chrome 64.0.3282.186,,2018-03-10 21:17:23,2018-03-10 21:17:23,0.000s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:23,2018-03-10 21:17:25,1.407s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:25,2018-03-10 21:17:27,2.074s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:17:27,2018-03-10 21:17:28,0.723s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:28,2018-03-10 21:17:29,1.079s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:17:29,2018-03-10 21:17:29,0.497s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:17:29,2018-03-10 21:17:30,0.395s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:17:30,2018-03-10 21:17:30,0.432s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:17:30,2018-03-10 21:17:31,0.485s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:31,2018-03-10 21:17:31,0.256s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-10 21:17:31,2018-03-10 21:17:33,2.036s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:33,2018-03-10 21:17:33,0.378s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:17:33,2018-03-10 21:17:34,0.653s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:34,2018-03-10 21:17:34,0.187s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:34,2018-03-10 21:17:34,0.192s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:34,2018-03-10 21:17:35,1.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:35,2018-03-10 21:17:36,0.271s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-10 21:17:36,2018-03-10 21:17:37,1.005s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:37,2018-03-10 21:17:37,0.364s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:37,2018-03-10 21:17:37,0.295s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-10 21:17:37,2018-03-10 21:17:38,1.001s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:38,2018-03-10 21:17:38,0.208s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:38,2018-03-10 21:17:39,0.360s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-10 21:17:39,2018-03-10 21:17:40,1.003s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:40,2018-03-10 21:17:40,0.182s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:40,2018-03-10 21:17:40,0.285s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-10 21:17:40,2018-03-10 21:17:41,1.002s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-10 21:17:41,2018-03-10 21:17:42,0.331s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:42,2018-03-10 21:17:42,0.841s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:42,2018-03-10 21:17:43,0.308s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:17:43,2018-03-10 21:18:09,26.382s,PASSED
switchToWindowTitle,Chrome 64.0.3282.186,,2018-03-10 21:18:09,2018-03-10 21:18:09,0.345s,PASSED
click,Chrome 64.0.3282.186,,2018-03-10 21:18:09,2018-03-10 21:18:10,0.230s,PASSED
takeScreenshot,Chrome 64.0.3282.186,,2018-03-10 21:18:10,2018-03-10 21:18:10,0.637s,PASSED
