Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Webassign,Chrome 63.0.3239.132,,2018-02-26 16:22:45,2018-02-26 16:23:15,30.553s,FAILED
,,,,,,
Test Cases/WebAssign_NewUser,Chrome 63.0.3239.132,,2018-02-26 16:22:45,2018-02-26 16:23:15,29.505s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-02-26 16:22:46,2018-02-26 16:22:50,4.252s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-26 16:22:50,2018-02-26 16:22:53,2.759s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:22:53,2018-02-26 16:22:53,0.271s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:22:53,2018-02-26 16:22:54,0.449s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:22:54,2018-02-26 16:22:54,0.243s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:22:54,2018-02-26 16:22:54,0.182s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:22:54,2018-02-26 16:22:54,0.197s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:22:54,2018-02-26 16:22:55,0.128s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:22:55,2018-02-26 16:22:55,0.645s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:22:55,2018-02-26 16:22:55,0.156s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:22:55,2018-02-26 16:22:56,0.405s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:22:56,2018-02-26 16:22:56,0.195s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:22:56,2018-02-26 16:22:56,0.241s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:22:56,2018-02-26 16:22:56,0.214s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-26 16:22:56,2018-02-26 16:22:57,0.209s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:22:57,2018-02-26 16:22:57,0.123s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:22:57,2018-02-26 16:22:57,0.140s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:22:57,2018-02-26 16:22:58,0.611s,PASSED
click,Chrome 63.0.3239.132,,2018-02-26 16:22:58,2018-02-26 16:23:15,17.315s,FAILED
